Date : 2023-04-28 10:39:20
Directory : d:\HCMUT\HK222\CSE_project\Back_end
Total : 170 files,  -31414 codes, 112 comments, -1223 blanks, all -32525 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         52 |      1,102 |         46 |        203 |      1,351 |
| JSON with Comments |          2 |         14 |         90 |         10 |        114 |
| XML                |          3 |        -23 |          0 |          0 |        -23 |
| JavaScript         |         95 |       -275 |         -9 |        -72 |       -356 |
| CSS                |          2 |       -393 |          0 |       -120 |       -513 |
| Log                |          1 |     -8,125 |          0 |     -1,245 |     -9,370 |
| JSON               |         15 |    -23,714 |        -15 |          1 |    -23,728 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        170 |    -31,414 |        112 |     -1,223 |    -32,525 |
| . (Files)                                                                       |          5 |      9,420 |         90 |         14 |      9,524 |
| ..                                                                              |         46 |    -43,344 |        -70 |     -1,501 |    -44,915 |
| ..\CSE_android                                                                  |         46 |    -43,344 |        -70 |     -1,501 |    -44,915 |
| ..\CSE_android (Files)                                                          |         14 |    -41,781 |        -27 |     -1,377 |    -43,185 |
| ..\CSE_android\.idea                                                            |          3 |        -23 |          0 |          0 |        -23 |
| ..\CSE_android\assets                                                           |          1 |        -13 |          0 |         -2 |        -15 |
| ..\CSE_android\assets\images                                                    |          1 |        -13 |          0 |         -2 |        -15 |
| ..\CSE_android\src                                                              |         28 |     -1,527 |        -43 |       -122 |     -1,692 |
| ..\CSE_android\src\apiServices                                                  |          1 |        -25 |          0 |         -4 |        -29 |
| ..\CSE_android\src\component                                                    |          9 |       -685 |         -2 |        -47 |       -734 |
| ..\CSE_android\src\component (Files)                                            |          7 |       -607 |         -2 |        -44 |       -653 |
| ..\CSE_android\src\component\DeviceItem                                         |          2 |        -78 |          0 |         -3 |        -81 |
| ..\CSE_android\src\config                                                       |          6 |       -106 |          0 |        -13 |       -119 |
| ..\CSE_android\src\context                                                      |          2 |         -9 |         -2 |         -6 |        -17 |
| ..\CSE_android\src\hooks                                                        |          2 |        -13 |         -1 |         -7 |        -21 |
| ..\CSE_android\src\screens                                                      |          6 |       -651 |        -38 |        -38 |       -727 |
| ..\CSE_android\src\utils                                                        |          2 |        -38 |          0 |         -7 |        -45 |
| build                                                                           |         62 |      1,363 |         46 |         61 |      1,470 |
| build (Files)                                                                   |          1 |         44 |          6 |          1 |         51 |
| build\AdaAPI                                                                    |          1 |         22 |          1 |          1 |         24 |
| build\config                                                                    |          6 |         65 |          4 |          5 |         74 |
