"filename", "language", "JSON", "JavaScript", "CSS", "Log", "XML", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\HCMUT\HK222\CSE_project\Back_end\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, -3, 0, 0, -1, -4
"d:\HCMUT\HK222\CSE_project\Back_end\.prettierrc.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, -2, -11
"d:\HCMUT\HK222\CSE_project\Back_end\build\AdaAPI\index.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, -1, -1, -24
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\CORS.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, -1, -8
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\deviceKeys.js", "JavaScript", 0, -26, 0, 0, 0, 0, 0, 0, -1, -27
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\lighting.json", "JSON", -12, 0, 0, 0, 0, 0, 0, 0, -1, -13
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\soilMoisture.json", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\temperature.json", "JSON", -12, 0, 0, 0, 0, 0, 0, 0, -1, -13
"d:\HCMUT\HK222\CSE_project\Back_end\build\config\timeSetting.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -4, -1, -12
"d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\DeviceController.js", "JavaScript", 0, -48, 0, 0, 0, 0, 0, -7, -1, -56
"d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\ManualModeController.js", "JavaScript", 0, -27, 0, 0, 0, 0, 0, -1, -1, -29
"d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\SafeModeController.js", "JavaScript", 0, -30, 0, 0, 0, 0, 0, -1, -1, -32
"d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\SettingsController.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, 0, -1, -30
"d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\conditionController.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, -4, -1, -25
